474,1711,2.0,"","",1137374207,Midnight in the Garden of Good and Evil (1997)
474,1960,4.0,"","",1137368246,"Last Emperor, The (1987)"
474,3034,3.0,"","","",Robin Hood (1973)
474,3270,2.5,"","",1137375084,"Cutting Edge, The (1992)"
474,4194,NaN,"","",1137201575,I Know Where I'm Going! (1945)
474,4296,2.0,"","",1137374704,Love Story (1970)
474,4370,4.5,"","",1137205306,A.I. Artificial Intelligence (2001)
474,5294,4.0,"","",1138039177,Frailty (2001)
474,6308,2.0,"","",1137374834,Legal Eagles (1986)
474,6965,3.5,"","","",Journeys with George (2002)
474,8575,3.0,"","","","Happenstance (Battement d'ailes du papillon, Le) (2001)"
474,49524,3.5,"","","","Nativity Story, The (2006)"
476,161,4.0,"","","",Crimson Tide (1995)
477,333,3.0,"","","",Tommy Boy (1995)
477,1210,4.5,"","","",Star Wars: Episode VI - Return of the Jedi (1983)
480,1732,3.5,"","","","Big Lebowski, The (1998)"
480,1876,2.5,"","","",Deep Impact (1998)
480,37384,2.0,"","","",Waiting... (2005)
482,1037,3.5,"","","","Lawnmower Man, The (1992)"
483,442,2.5,"","","",Demolition Man (1993)
483,2269,3.0,"","","",Indecent Proposal (1993)
483,42734,4.0,"","","",Hoodwinked! (2005)
483,103341,4.5,"","","","World's End, The (2013)"
484,63131,4.0,"","","",Role Models (2008)
488,3897,4.5,"","","",Almost Famous (2000)
491,104374,4.5,"","","",About Time (2013)
492,634,3.0,"","","",Theodore Rex (1995)
492,1405,5.0,"","","",Beavis and Butt-Head Do America (1996)
499,1202,5.0,"","","",Withnail & I (1987)
501,135,2.0,"","","",Down Periscope (1996)
503,1203,4.0,"","","",12 Angry Men (1957)
504,5955,4.0,"","","",Antwone Fisher (2002)
514,1396,4.5,"","","",Sneakers (1992)
514,1682,4.0,"","","","Truman Show, The (1998)"
514,6979,5.0,"","","",WarGames (1983)
514,31150,2.0,"","","",Wizards (1977)
514,59369,4.0,"","","",Taken (2008)
522,2908,4.5,"","","",Boys Don't Cry (1999)
522,99114,5.0,"","","",Django Unchained (2012)
524,150,5.0,"","","",Apollo 13 (1995)
524,553,4.0,"","","",Tombstone (1993)
525,6157,2.0,"","","",Daredevil (2003)
525,81591,4.0,"","","",Black Swan (2010)
525,106002,2.0,"","","",Ender's Game (2013)
527,2312,4.0,"","","",Children of a Lesser God (1986)
527,4327,3.0,"","","","Magnificent Seven, The (1960)"
534,2717,4.0,"","","",Ghostbusters II (1989)
534,4995,4.0,"","","","Beautiful Mind, A (2001)"
534,5418,4.5,"","","","Bourne Identity, The (2002)"
534,5621,3.5,"","","","Tuxedo, The (2002)"
534,45186,4.0,"","","",Mission: Impossible III (2006)
534,73268,4.0,"","","",Daybreakers (2010)
534,114180,2.5,"","","","Maze Runner, The (2014)"
536,590,3.0,"","","",Dances with Wolves (1990)
541,11,4.0,"","","","American President, The (1995)"
541,367,2.0,"","","","Mask, The (1994)"
541,720,5.0,"","","",Wallace & Gromit: The Best of Aardman Animation (1996)
542,46976,4.0,"","","",Stranger than Fiction (2006)
549,4226,5.0,"","","",Memento (2000)
553,4034,5.0,"","","",Traffic (2000)
554,2820,4.0,"","","",Hamlet (1964)
555,3175,5.0,"","","",Galaxy Quest (1999)
558,223,4.0,"","","",Clerks (1994)
560,1210,4.0,"","","",Star Wars: Episode VI - Return of the Jedi (1983)
561,733,3.0,"","","","Rock, The (1996)"
561,1200,4.5,"","","",Aliens (1986)
561,56174,2.5,"","","",I Am Legend (2007)
561,57368,3.0,"","","",Cloverfield (2008)
